שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|יג}},יג
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|יד}},יד
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|טו}},טו
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|טז}},טז
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|יז}},יז
שולחן ערוך אורח חיים ד,כף החיים,סעיף ג: לא יגע בידו קודם נטילת ידיים לפה ולא לחוטם,{{פרשע1|כהח|יח}},יח
שולחן ערוך אורח חיים ד,כף החיים,שם: ולא לחוטם,{{פרשע1|כהח|יט}},יט
שולחן ערוך אורח חיים ד,כף החיים,שם: לא יגע קודם נטילת ידיים,{{פרשע1|כהח|כ}},כ
שולחן ערוך אורח חיים ד,כף החיים,שם: ולא לאזניים,{{פרשע1|כהח|כא}},כא
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|כב}},כב
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|כג}},כג
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|כד}},כד
שולחן ערוך אורח חיים ד,כף החיים,סעיף ה: לא יגע בגיגית,{{פרשע1|כהח|כה}},כה
שולחן ערוך אורח חיים ד,כף החיים,סעיף ו: אין צריך רביעית,{{פרשע1|כהח|כו}},כו
שולחן ערוך אורח חיים ד,כף החיים,"סעיף ז: טוב להקפיד וכו'. הג""ה. מיהו אינו מעכב",{{פרשע1|כהח|כז}},כז
שולחן ערוך אורח חיים ד,כף החיים,סעיף ח: נטילת ידיים שחרית אין נוטלים על גבי קרקע אלא לתוך כלי,{{פרשע1|כהח|כח}},כח
שולחן ערוך אורח חיים ד,כף החיים,"שם: אלא לתוך כלי, אבל על גבי קסמין אסור",{{פרשע1|כהח|כט}},כט
שולחן ערוך אורח חיים ד,כף החיים,שם: אלא לתוך כלי,{{פרשע1|כהח|ל}},ל
שולחן ערוך אורח חיים ד,כף החיים,סעיף ט': מים של נטילת ידיים של שחרית,{{פרשע1|כהח|לא}},לא
שולחן ערוך אורח חיים ד,כף החיים,שם: ולא ישפכם בבית,{{פרשע1|כהח|לב}},לב
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|לג}},לג
